,name,labels
7637,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00613.png,2
3199,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00444.png,6
3363,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00160.png,6
1058,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00923.png,0
5264,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00548.png,4
5128,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00872.png,4
927,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00338.png,3
5566,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00186.png,4
306,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00938.png,3
8485,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00239.png,8
6225,Fish_Dataset/Fish_Dataset/Trout/Trout/00299.png,7
8580,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00323.png,8
3678,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00992.png,6
6944,Fish_Dataset/Fish_Dataset/Trout/Trout/00489.png,7
2943,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00034.png,5
3672,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00161.png,6
8038,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00021.png,8
6656,Fish_Dataset/Fish_Dataset/Trout/Trout/00292.png,7
6340,Fish_Dataset/Fish_Dataset/Trout/Trout/00812.png,7
8256,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00046.png,8
5450,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00798.png,4
6186,Fish_Dataset/Fish_Dataset/Trout/Trout/00164.png,7
3674,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00032.png,6
1747,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00560.png,0
5389,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00168.png,4
1980,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00877.png,0
7932,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00488.png,2
4230,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00857.png,1
2569,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00144.png,5
4144,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00763.png,1
4328,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00058.png,1
1860,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00272.png,0
4178,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00800.png,1
5136,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00716.png,4
2089,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00005.png,5
8700,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00022.png,8
1269,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00481.png,0
6582,Fish_Dataset/Fish_Dataset/Trout/Trout/00886.png,7
2042,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00568.png,5
6317,Fish_Dataset/Fish_Dataset/Trout/Trout/00371.png,7
3380,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00514.png,6
3877,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00662.png,6
7969,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00095.png,2
6165,Fish_Dataset/Fish_Dataset/Trout/Trout/00574.png,7
7292,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00858.png,2
4318,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00980.png,1
4088,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00796.png,1
4156,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00040.png,1
258,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00380.png,3
4164,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00985.png,1
700,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00022.png,3
1681,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00649.png,0
8869,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00973.png,8
101,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00019.png,3
1702,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00967.png,0
1401,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00609.png,0
385,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00102.png,3
4945,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00492.png,1
6666,Fish_Dataset/Fish_Dataset/Trout/Trout/00283.png,7
4605,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00066.png,1
7000,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00437.png,2
3628,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00901.png,6
1276,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00350.png,0
574,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00352.png,3
6824,Fish_Dataset/Fish_Dataset/Trout/Trout/00599.png,7
6517,Fish_Dataset/Fish_Dataset/Trout/Trout/00776.png,7
268,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00142.png,3
5831,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00528.png,4
1345,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00211.png,0
1214,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00486.png,0
4919,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00270.png,1
874,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00315.png,3
1343,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00615.png,0
2531,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00433.png,5
3719,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00501.png,6
8636,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00810.png,8
2058,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00923.png,5
5875,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00076.png,4
6959,Fish_Dataset/Fish_Dataset/Trout/Trout/00353.png,7
2630,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00493.png,5
8063,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00733.png,8
4884,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00575.png,1
507,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00091.png,3
2779,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00157.png,5
5353,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00439.png,4
2741,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00104.png,5
1818,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00899.png,0
5348,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00411.png,4
5246,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00545.png,4
8163,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00849.png,8
4984,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00859.png,1
6190,Fish_Dataset/Fish_Dataset/Trout/Trout/00249.png,7
3474,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00081.png,6
5796,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00184.png,4
8257,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00519.png,8
3187,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00007.png,6
8042,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00568.png,8
6175,Fish_Dataset/Fish_Dataset/Trout/Trout/00126.png,7
8217,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00037.png,8
8357,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00532.png,8
1769,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00955.png,0
5832,Fish_Dataset/Fish_Dataset/Red Sea Bream/Red Sea Bream/00069.png,4
4748,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00656.png,1
536,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00431.png,3
1600,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00194.png,0
163,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00849.png,3
7374,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00232.png,2
7756,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00993.png,2
3130,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00735.png,6
3085,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00027.png,6
6817,Fish_Dataset/Fish_Dataset/Trout/Trout/00044.png,7
3211,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00975.png,6
665,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00048.png,3
6669,Fish_Dataset/Fish_Dataset/Trout/Trout/00984.png,7
7203,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00701.png,2
7942,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00578.png,2
6272,Fish_Dataset/Fish_Dataset/Trout/Trout/00713.png,7
1189,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00906.png,0
794,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00330.png,3
7241,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00434.png,2
2720,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00530.png,5
4553,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00651.png,1
7891,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00719.png,2
2727,Fish_Dataset/Fish_Dataset/Sea Bass/Sea Bass/00213.png,5
7283,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00832.png,2
3298,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00054.png,6
7305,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00415.png,2
8187,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00007.png,8
7344,Fish_Dataset/Fish_Dataset/Hourse Mackerel/Hourse Mackerel/00276.png,2
1686,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00139.png,0
8437,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00994.png,8
1566,Fish_Dataset/Fish_Dataset/Black Sea Sprat/Black Sea Sprat/00186.png,0
8948,Fish_Dataset/Fish_Dataset/Striped Red Mullet/Striped Red Mullet/00311.png,8
4041,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00504.png,1
4959,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00353.png,1
6648,Fish_Dataset/Fish_Dataset/Trout/Trout/00774.png,7
3231,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00554.png,6
3323,Fish_Dataset/Fish_Dataset/Shrimp/Shrimp/00547.png,6
4929,Fish_Dataset/Fish_Dataset/Gilt-Head Bream/Gilt-Head Bream/00765.png,1
