,name,labels
0,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00437.png,3
1,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00974.png,3
2,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00248.png,3
3,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00592.png,3
4,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00689.png,3
5,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00778.png,3
6,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00381.png,3
7,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00961.png,3
8,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00723.png,3
9,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00641.png,3
10,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00869.png,3
11,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00964.png,3
12,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00288.png,3
13,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00864.png,3
14,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00078.png,3
15,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00346.png,3
16,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00269.png,3
17,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00526.png,3
18,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00930.png,3
19,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00136.png,3
20,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00751.png,3
21,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00893.png,3
22,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00522.png,3
23,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00926.png,3
24,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00310.png,3
25,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00072.png,3
26,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00274.png,3
27,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00215.png,3
28,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00539.png,3
29,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00739.png,3
30,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00792.png,3
31,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00726.png,3
32,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00100.png,3
33,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00092.png,3
34,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00896.png,3
35,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00690.png,3
36,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00097.png,3
37,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00257.png,3
38,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00021.png,3
39,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00494.png,3
40,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00230.png,3
41,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00504.png,3
42,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00568.png,3
43,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00013.png,3
44,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00206.png,3
45,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00922.png,3
46,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00086.png,3
47,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00619.png,3
48,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00491.png,3
49,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00385.png,3
50,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00318.png,3
51,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00366.png,3
52,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00833.png,3
53,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00903.png,3
54,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00451.png,3
55,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00972.png,3
56,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00762.png,3
57,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00511.png,3
58,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00923.png,3
59,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00787.png,3
60,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00166.png,3
61,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00063.png,3
62,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00809.png,3
63,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00733.png,3
64,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00156.png,3
65,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00114.png,3
66,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00603.png,3
67,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00117.png,3
68,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00940.png,3
69,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00918.png,3
70,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00769.png,3
71,Fish_Dataset/Fish_Dataset/Red Mullet/Red Mullet/00093.png,3
